check_id,query_name,kics_category,platform,cwe,rank,candidate_control,control_title,score,matched_on,DECISION,REVIEWER,NOTES
9307a2ed-35c2-413d-94de-a1a0682c2158,AKS Cluster RBAC Disabled,Access Control,AzureResourceManager,287,1,AC-3.7,Role-based Access Control,1.0,statement|objective|guidance,,,
9307a2ed-35c2-413d-94de-a1a0682c2158,AKS Cluster RBAC Disabled,Access Control,AzureResourceManager,287,2,AC-3.15,Discretionary and Mandatory Access Control,0.812,statement|objective|guidance,,,
9307a2ed-35c2-413d-94de-a1a0682c2158,AKS Cluster RBAC Disabled,Access Control,AzureResourceManager,287,3,AC-3.15 (a),Discretionary and Mandatory Access Control,0.688,statement,,,
9307a2ed-35c2-413d-94de-a1a0682c2158,AKS Cluster RBAC Disabled,Access Control,AzureResourceManager,287,4,AC-3.15 (b),Discretionary and Mandatory Access Control,0.688,statement,,,
9307a2ed-35c2-413d-94de-a1a0682c2158,AKS Cluster RBAC Disabled,Access Control,AzureResourceManager,287,5,AC-2.3,Disable Accounts,0.653,objective,,,
86f92117-eed8-4614-9c6c-b26da20ff37f,AKS RBAC Disabled,Access Control,Terraform,285,1,AC-3.7,Role-based Access Control,1.0,statement|objective|guidance,,,
86f92117-eed8-4614-9c6c-b26da20ff37f,AKS RBAC Disabled,Access Control,Terraform,285,2,AC-2.1,Automated System Account Management,0.467,guidance,,,
86f92117-eed8-4614-9c6c-b26da20ff37f,AKS RBAC Disabled,Access Control,Terraform,285,3,AC-2.3,Disable Accounts,0.406,objective,,,
86f92117-eed8-4614-9c6c-b26da20ff37f,AKS RBAC Disabled,Access Control,Terraform,285,4,SC-41,Port and I/O Device Access,0.362,objective,,,
86f92117-eed8-4614-9c6c-b26da20ff37f,AKS RBAC Disabled,Access Control,Terraform,285,5,AC-3.11,Restrict Access to Specific Information Types,0.36,statement|objective|guidance,,,
149fa56c-4404-4f90-9e25-d34b676d5b39,AKS RBAC Disabled,Access Control,Ansible,285,1,AC-3.7,Role-based Access Control,1.0,statement|objective|guidance,,,
149fa56c-4404-4f90-9e25-d34b676d5b39,AKS RBAC Disabled,Access Control,Ansible,285,2,AC-2.1,Automated System Account Management,0.467,guidance,,,
149fa56c-4404-4f90-9e25-d34b676d5b39,AKS RBAC Disabled,Access Control,Ansible,285,3,AC-2.3,Disable Accounts,0.406,objective,,,
149fa56c-4404-4f90-9e25-d34b676d5b39,AKS RBAC Disabled,Access Control,Ansible,285,4,SC-41,Port and I/O Device Access,0.362,objective,,,
149fa56c-4404-4f90-9e25-d34b676d5b39,AKS RBAC Disabled,Access Control,Ansible,285,5,AC-3.11,Restrict Access to Specific Information Types,0.36,statement|objective|guidance,,,
b2418936-cd47-4ea2-8346-623c0bdb87bd,AKS RBAC Disabled,Access Control,Crossplane,311,1,AC-3.7,Role-based Access Control,1.0,statement|objective|guidance,,,
b2418936-cd47-4ea2-8346-623c0bdb87bd,AKS RBAC Disabled,Access Control,Crossplane,311,2,AC-2.1,Automated System Account Management,0.467,guidance,,,
b2418936-cd47-4ea2-8346-623c0bdb87bd,AKS RBAC Disabled,Access Control,Crossplane,311,3,AC-2.3,Disable Accounts,0.406,objective,,,
b2418936-cd47-4ea2-8346-623c0bdb87bd,AKS RBAC Disabled,Access Control,Crossplane,311,4,SC-41,Port and I/O Device Access,0.362,objective,,,
b2418936-cd47-4ea2-8346-623c0bdb87bd,AKS RBAC Disabled,Access Control,Crossplane,311,5,AC-3.11,Restrict Access to Specific Information Types,0.36,statement|objective|guidance,,,
ba4e0031-3e9d-4d7d-b0d6-bd8f003f8698,AMI Shared With Multiple Accounts,Access Control,Terraform,284,1,IA-5.8,Multiple System Accounts,1.0,statement|objective|guidance,,,
ba4e0031-3e9d-4d7d-b0d6-bd8f003f8698,AMI Shared With Multiple Accounts,Access Control,Terraform,284,2,AC-2,Account Management,0.802,statement|objective|guidance,,,
ba4e0031-3e9d-4d7d-b0d6-bd8f003f8698,AMI Shared With Multiple Accounts,Access Control,Terraform,284,3,AC-6.2,Non-privileged Access for Nonsecurity Functions,0.759,statement|objective|guidance,,,
ba4e0031-3e9d-4d7d-b0d6-bd8f003f8698,AMI Shared With Multiple Accounts,Access Control,Terraform,284,4,AC-2.2,Automated Temporary and Emergency Account Management,0.735,statement|objective|guidance,,,
ba4e0031-3e9d-4d7d-b0d6-bd8f003f8698,AMI Shared With Multiple Accounts,Access Control,Terraform,284,5,IA-2.5,Individual Authentication with Group Authentication,0.735,statement|objective|guidance,,,
a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,Access Control,Ansible,284,1,IA-5.8,Multiple System Accounts,1.0,statement|objective|guidance,,,
a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,Access Control,Ansible,284,2,AC-2,Account Management,0.802,statement|objective|guidance,,,
a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,Access Control,Ansible,284,3,AC-6.2,Non-privileged Access for Nonsecurity Functions,0.759,statement|objective|guidance,,,
a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,Access Control,Ansible,284,4,AC-2.2,Automated Temporary and Emergency Account Management,0.735,statement|objective|guidance,,,
a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,Access Control,Ansible,284,5,IA-2.5,Individual Authentication with Group Authentication,0.735,statement|objective|guidance,,,
3641d5b4-d339-4bc2-bfb9-208fe8d3477f,API Gateway Method Does Not Contains An API Key,Access Control,CloudFormation,285,1,AC-24,Access Control Decisions,1.0,statement|objective|guidance,,,
